query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani	fragments_aligned	fragments_total
GCF_016728365.1	GCF_013408445.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_JACBZL010000001.1_rrna_12	100.0	99.9966	815	817
GCF_016728365.1	GCF_013408445.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_JACBZL010000001.1_rrna_38	100.0	99.9966	815	817
GCF_016728365.1	GCF_013408445.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_JACBZL010000001.1_rrna_46	100.0	99.9966	815	817
GCF_016728365.1	GCF_016613425.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_JAEHFL010000040.1_rrna_38	100.0	96.752	738	817
GCF_016728365.1	GCF_000175635.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_ACVP01000009.1_rrna_46	100.0	96.2775	711	817
GCF_016728365.1	GCF_003762835.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_RJWA01000023.1_rrna_34	100.0	80.6868	40	817
GCF_016728365.1	GCF_016894265.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_CP069791.1_rrna_18	99.93	95.0178	712	817
GCF_016728365.1	GCF_016894265.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_CP069791.1_rrna_28	99.93	95.0178	712	817
GCF_016728365.1	GCF_016894265.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_CP069791.1_rrna_54	99.93	95.0178	712	817
GCF_016728365.1	GCF_016894265.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_CP069791.1_rrna_65	99.93	95.0178	712	817
GCF_016728365.1	GCF_000156615.2	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_GL542874.1_rrna_2	99.93	96.6811	748	817
GCF_016728365.1	GCF_000156615.2	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_GL542875.1_rrna_18	99.93	96.6811	748	817
GCF_016728365.1	GCF_000156615.2	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_GL542879.1_rrna_60	99.93	96.6811	748	817
GCF_016728365.1	GCF_000478155.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515768.1_rrna_62	99.93	89.1489	696	817
GCF_016728365.1	GCF_000478055.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515735.1_rrna_10	99.93	89.2071	696	817
GCF_016728365.1	GCF_000478055.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515735.1_rrna_29	99.93	89.2071	696	817
GCF_016728365.1	GCF_000478055.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515735.1_rrna_62	99.93	89.2071	696	817
GCF_016728365.1	GCF_000478035.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515731.1_rrna_2	99.93	89.2344	691	817
GCF_016728365.1	GCF_000478035.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515731.1_rrna_21	99.93	89.2344	691	817
GCF_016728365.1	GCF_000478035.1	lcl|NZ_CP068156.1_rrna_22	lcl|NZ_KI515731.1_rrna_31	99.93	89.2344	691	817
