query_assembly	subject_assembly	query_seqid	subject_seqid	pctid	ani	fragments_aligned	fragments_total
GCF_000159115.1	GCF_000478135.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515758.1_rrna_2	99.87	96.9168	769	804
GCF_000159115.1	GCF_000478135.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515758.1_rrna_12	99.87	96.9168	769	804
GCF_000159115.1	GCF_022014575.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAHWRA010000016.1_rrna_14	99.8	97.2606	767	804
GCF_000159115.1	GCF_000478135.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515760.1_rrna_70	99.8	96.9168	769	804
GCF_000159115.1	GCF_000478135.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515758.1_rrna_31	99.8	96.9168	769	804
GCF_000159115.1	GCF_000478175.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515775.1_rrna_24	99.74	93.5664	731	804
GCF_000159115.1	GCF_000478175.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515775.1_rrna_34	99.74	93.5664	731	804
GCF_000159115.1	GCF_000478175.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515777.1_rrna_49	99.74	93.5664	731	804
GCF_000159115.1	GCF_000478175.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515779.1_rrna_63	99.74	93.5664	731	804
GCF_000159115.1	GCF_000478075.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515742.1_rrna_24	99.74	93.5278	729	804
GCF_000159115.1	GCF_000478075.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515742.1_rrna_34	99.74	93.5278	729	804
GCF_000159115.1	GCF_000478075.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515743.1_rrna_37	99.74	93.5278	729	804
GCF_000159115.1	GCF_000478075.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515744.1_rrna_57	99.74	93.5278	729	804
GCF_000159115.1	GCF_000478015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515728.1_rrna_23	99.74	93.5951	726	804
GCF_000159115.1	GCF_000478015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515729.1_rrna_32	99.74	93.5951	726	804
GCF_000159115.1	GCF_000478015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515729.1_rrna_51	99.74	93.5951	726	804
GCF_000159115.1	GCF_000478015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515730.1_rrna_53	99.74	93.5951	726	804
GCF_000159115.1	GCF_000478015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515730.1_rrna_63	99.74	93.5951	726	804
GCF_000159115.1	GCF_000478095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515750.1_rrna_59	99.74	97.1859	779	804
GCF_000159115.1	GCF_000478095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515750.1_rrna_69	99.6	97.1859	779	804
GCF_000159115.1	GCF_000478095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515749.1_rrna_21	99.54	97.1859	779	804
GCF_000159115.1	GCF_022346005.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAKRMY010000032.1_rrna_39	99.34	94.3658	720	804
GCF_000159115.1	GCF_022014535.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAHWQZ010000019.1_rrna_14	99.28	96.9818	755	804
GCF_000159115.1	GCF_000477975.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515719.1_rrna_63	99.28	97.3126	767	804
GCF_000159115.1	GCF_900637825.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_LR134408.1_rrna_30	99.21	97.1426	749	804
GCF_000159115.1	GCF_900637825.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_LR134408.1_rrna_19	99.21	97.1426	749	804
GCF_000159115.1	GCF_900637825.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_LR134408.1_rrna_55	99.21	97.1426	749	804
GCF_000159115.1	GCF_000478095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515749.1_rrna_2	99.21	97.1859	779	804
GCF_000159115.1	GCF_000477975.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515719.1_rrna_34	99.21	97.3126	767	804
GCF_000159115.1	GCF_000477915.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515712.1_rrna_32	99.21	97.2322	768	804
GCF_000159115.1	GCF_000477895.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515710.1_rrna_44	99.21	97.2929	762	804
GCF_000159115.1	GCF_900637825.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_LR134408.1_rrna_65	99.14	97.1426	749	804
GCF_000159115.1	GCF_022346095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAKRMW010000031.1_rrna_33	99.14	94.3849	722	804
GCF_000159115.1	GCF_022345985.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAKRMX010000028.1_rrna_30	99.14	94.3814	720	804
GCF_000159115.1	GCF_000478095.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515749.1_rrna_32	99.14	97.1859	779	804
GCF_000159115.1	GCF_000477915.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515712.1_rrna_21	99.08	97.2322	768	804
GCF_000159115.1	GCF_000477895.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515711.1_rrna_65	99.01	97.2929	762	804
GCF_000159115.1	GCF_022347215.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAKRDY010000045.1_rrna_45	98.95	81.4879	524	804
GCF_000159115.1	GCF_000477875.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515702.1_rrna_1	98.95	97.281	772	804
GCF_000159115.1	GCF_016127015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CP065972.1_rrna_7	98.88	81.5256	540	804
GCF_000159115.1	GCF_016127015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CP065972.1_rrna_43	98.88	81.5256	540	804
GCF_000159115.1	GCF_016127015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CP065972.1_rrna_53	98.88	81.5256	540	804
GCF_000159115.1	GCF_001059565.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JUOH01000109.1_rrna_34	98.88	81.5766	521	804
GCF_000159115.1	GCF_000477915.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515712.1_rrna_2	98.88	97.2322	768	804
GCF_000159115.1	GCF_000477895.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_KI515708.1_rrna_1	98.88	97.2929	762	804
GCF_000159115.1	GCF_916618765.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CAKAKD010000001.1_rrna_3	98.88	81.7547	548	804
GCF_000159115.1	GCF_916618765.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CAKAKD010000001.1_rrna_22	98.88	81.7547	548	804
GCF_000159115.1	GCF_022288805.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAKOPM010000035.1_rrna_42	98.88	81.113	511	804
GCF_000159115.1	GCF_016127015.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_CP065972.1_rrna_18	98.81	81.5256	540	804
GCF_000159115.1	GCF_001057615.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JUZU01000117.1_rrna_32	98.81	81.6055	515	804
GCF_000159115.1	GCF_003688935.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_REGE01000035.1_rrna_37	98.75	88.0224	666	804
GCF_000159115.1	GCF_003688955.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_REGC01000025.1_rrna_30	98.75	88.0061	673	804
GCF_000159115.1	GCF_003688975.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_REGD01000069.1_rrna_58	98.75	87.9935	678	804
GCF_000159115.1	GCF_016628245.1	lcl|NZ_GG666997.1_rrna_11	lcl|NZ_JAACBT010000020.1_rrna_8	98.75	87.8917	675	804
